Slice,Area_Total(px),Densidad_Media(HU_prox)
568,3144,156.641
569,3076,154.759
570,3044,158.441
571,2980,158.051
572,2940,164.431
573,2873,164.011
574,2838,166.921
575,2795,168.302
576,2742,167.313
577,2707,169.542
578,2687,172.557
579,2640,169.986
580,2626,171.473
581,2591,168.684
582,2571,170.06
583,2551,173.359
584,2534,176.547
585,2514,174.136
586,2492,173.52
587,2488,179.777
588,2463,178.208
589,2450,178.602
590,2441,181.104
591,2430,180.43
592,2409,180.153
593,2393,182.169
594,2391,182.884
595,2365,180.509
596,2363,182.185
597,2364,186.561
598,2346,184.716
599,2343,185.258
600,2337,185.3
601,2329,185.092
602,2309,185.77
603,2305,186.797
604,2307,188.647
605,2298,188.205
606,2293,191.325
607,2283,184.512
608,2279,186.91
609,2276,190.533
